Reference,Pin,Pin name,Net,PCB X (mm),PCB Y (mm)
J2,1,BAT_PACK_POS,BAT_PACK_POS,-16.000004,-13.350037
J2,2,BAT_NTC,BAT_NTC,-18,-13.350037
J2,3,GND,GND,-19.999996,-13.350037
J3,1,GND,GND,7.500012,-14
J3,2,OLED_VCC,OLED_VCC,9.500008,-14
J3,3,OLED_SCLK,OLED_SCLK,11.500004,-14
J3,4,OLED_MOSI,OLED_MOSI,13.5,-14
J3,5,OLED_RESET,OLED_RESET,15.499996,-14
J3,6,OLED_DC,OLED_DC,17.499992,-14
J3,7,OLED_CS,OLED_CS,19.499988000000002,-14
J4,1,VCORE,VCORE,-3.999992,-14
J4,2,SWDIO,SWDIO,-1.999996,-14
J4,3,SWDCK,SWDCK,0,-14
J4,4,MCU_RSTN,MCU_RSTN,1.999996,-14
J4,5,GND,GND,3.999992,-14
J5,,pin5_internal_1,NC,-12.200031,12.4000103
J5,1,CHARGER_IN,CHARGER_IN,-16.499997,9.8749963
J5,2,BAT_PACK_POS,BAT_PACK_POS,-15.499999,9.8749963
J5,3,VCORE,VCORE,-14.500001,9.8749963
J5,4,GND,GND,-13.500003,9.8749963
J5,5,MOUNT_NC,NC,-17.799969,12.4000103
L1,1,pin1,DCDC_SW,14.100103,1.7
L1,2,pin2,VDDR,15.499897,1.7
L2,1,pin1,RF_RAW,13.825,9.5
L2,2,pin2,RF_FILTERED,14.375,9.5
R1,1,pin1,USB_CC1,-20.51,7
R1,2,pin2,GND,-19.49,7
R2,1,pin1,USB_CC2,-20.51,-7
R2,2,pin2,GND,-19.49,-7
R3,1,pin1,PMIC_IMAX,-7.4,11.59
R3,2,pin2,GND,-7.4,12.61
R4,1,pin1,BAT_NTC,-9.91,12.4
R4,2,pin2,GND,-8.89,12.4
R5,1,pin1,PMIC_CE,-7.91,3.5
R5,2,pin2,VCORE,-6.890000000000001,3.5
R6,1,pin1,PMIC_INT,-2.91,6.2
R6,2,pin2,VCORE,-1.89,6.2
R7,1,pin1,PMIC_PG,-2.91,4.2
R7,2,pin2,VCORE,-1.89,4.2
